sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東（枋山）,屏東縣,41,,良好,0.1,0.07,21,27,21,9,2,2.6,0,2.8,321,"2026/05/21 21:00:00",0,10.2,19,0,120.651472,22.260899,313
新北（樹林）,新北市,52,細懸浮微粒,普通,0,0.25,9,26,17,15,10,12.3,2.1,0.5,95,"2026/05/21 21:00:00",0.2,13,18,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,30,,良好,0.3,0.1,21,23,15,6,2,3,0.5,3.3,317,"2026/05/21 21:00:00",0.1,7.5,16,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,38,,良好,1.1,0.12,18,34,23,14,,,,0.5,156,"2026/05/21 21:00:00",0.1,9.5,22,1,120.7944772,23.71867609,203
林森,臺南市,36,,良好,1.5,0.34,10,18,15,10,6,9.2,3.2,1.1,56,"2026/05/21 21:00:00",0.2,8.9,20,1,120.22216042,22.98522502,140
員林,彰化縣,49,,良好,0.9,0.17,15,22,25,19,4,5.8,1.4,0.4,325,"2026/05/21 21:00:00",0.1,12.1,19,1,120.5631893,23.9615945,139
臺灣大道,臺中市,46,,良好,1.3,0.71,7,21,24,10,15,29.9,14.2,0.7,92,"2026/05/21 21:00:00",0.5,11.5,21,0,120.6567111,24.1589,88
大城,彰化縣,40,,良好,0.8,0.1,22,25,22,8,0,0.5,0,1.1,271,"2026/05/21 21:00:00",0,9.8,23,1,120.26964167,23.85493056,85
富貴角,新北市,36,,良好,0.6,0.09,16,30,30,11,3,2.8,0,1.2,137,"2026/05/21 21:00:00",0,9,21,0,121.53656894,25.29681695,84
麥寮,雲林縣,38,,良好,1.4,0.12,17,22,19,10,2,3.2,0.9,0.5,292,"2026/05/21 21:00:00",0.1,9.4,16,1,120.251825,23.753506,83
關山,臺東縣,34,,良好,0.5,0.14,23,28,22,12,3,4.2,0.6,1,12,"2026/05/21 21:00:00",0.1,8.5,17,0,121.161933,23.045083,80
馬公,澎湖縣,49,,良好,0.1,0.23,23,24,14,10,7,8.1,0.7,1.1,262,"2026/05/21 21:00:00",0.2,12.2,15,0,119.566158,23.569031,78
金門,金門縣,25,,良好,0.5,0.12,20,27,9,7,6,7.2,0.9,1.6,206,"2026/05/21 21:00:00",0.1,5.2,10,0,118.312256,24.432133,77
馬祖,連江縣,44,,良好,0.6,0.13,31,35,7,7,3,3.7,0.7,0.4,312,"2026/05/21 21:00:00",0.1,11,15,0,119.952724,26.153736,75
埔里,南投縣,44,,良好,1.5,0.16,19,32,24,8,5,6.8,1,0.5,266,"2026/05/21 21:00:00",0.1,10.8,22,1,120.967903,23.968842,72
復興,高雄市,44,,良好,0,0.18,10,16,17,11,6,8.6,1.8,1.5,284,"2026/05/21 21:00:00",0.1,11,20,0,120.312017,22.608711,71
永和,新北市,40,,良好,0.7,0.38,14,21,12,7,12,16,3.7,1.1,149,"2026/05/21 21:00:00",0.6,10,19,1,121.516306,25.017,70
竹山,南投縣,45,,良好,2.3,0.14,11,29,29,13,7,7.6,0.3,0.3,143,"2026/05/21 21:00:00",0.1,11.2,26,1,120.677306,23.756389,69
中壢,桃園市,50,,良好,1.2,0.68,3,9,22,10,13,33.9,20.6,0.2,239,"2026/05/21 21:00:00",0.6,12.4,22,1,121.221667,24.953278,68
三重,新北市,54,細懸浮微粒,普通,0.9,0.78,1,6,25,16,21,55.1,33.4,-,-,"2026/05/21 21:00:00",0.7,13.5,24,1,121.493806,25.072611,67
冬山,宜蘭縣,39,,良好,0.9,0.17,30,34,16,11,4,5.2,0.5,1.7,201,"2026/05/21 21:00:00",0.1,9.6,16,0,121.792928,24.632203,66
宜蘭,宜蘭縣,28,,良好,0.2,0.18,11,24,17,8,5,7.7,1.8,1.2,340,"2026/05/21 21:00:00",0.1,7,16,0,121.746394,24.747917,65
陽明,臺北市,29,,良好,0.3,0.14,8,11,15,5,2,3.4,0.8,,,"2026/05/21 21:00:00",0.1,7.3,15,0,121.529583,25.182722,64
花蓮,花蓮縣,44,,良好,0.5,0.25,20,26,18,16,7,8,0.6,1,336,"2026/05/21 21:00:00",0.1,10.8,20,0,121.599769,23.971306,63
臺東,臺東縣,46,,良好,0.3,0.12,21,27,22,8,2,4.1,1.6,1.5,26,"2026/05/21 21:00:00",0.1,11.4,21,0,121.15045,22.755358,62
恆春,屏東縣,31,,良好,0.6,0.07,20,20,14,5,0,1.1,0.2,2.6,323,"2026/05/21 21:00:00",0,7.6,13,0,120.788928,21.958069,61
潮州,屏東縣,57,細懸浮微粒,普通,1.2,0.2,8,21,21,16,10,12,1.1,1.4,322,"2026/05/21 21:00:00",0.2,14.8,30,1,120.561175,22.523108,60
屏東,屏東縣,49,,良好,0.9,0.18,10,26,21,11,8,9.3,1,1.4,309,"2026/05/21 21:00:00",0.1,12.1,24,1,120.488033,22.673081,59
小港,高雄市,52,細懸浮微粒,普通,0.8,0.11,10,16,12,15,6,6.7,0.5,2.7,295,"2026/05/21 21:00:00",0,12.7,17,1,120.337736,22.565833,58
前鎮,高雄市,35,,良好,0.2,0.18,12,18,16,7,5,6.9,1.6,2,3,"2026/05/21 21:00:00",0.1,8.8,21,0,120.30833356,22.6044507,57
前金,高雄市,41,,良好,0,0.13,13,20,18,10,4,5.4,0.8,2.8,342,"2026/05/21 21:00:00",0.1,10.2,20,0,120.28676111,22.63390278,56
左營,高雄市,42,,良好,0.4,0.11,11,19,17,13,4,5.8,0.8,1.7,325,"2026/05/21 21:00:00",0.1,10.5,20,0,120.292917,22.674861,54
楠梓,高雄市,47,,良好,1,0.17,10,18,25,11,7,8.1,0.4,1.5,309,"2026/05/21 21:00:00",0.1,9.4,28,0,120.328289,22.733667,53
林園,高雄市,42,,良好,1.4,0.16,6,16,24,10,12,13.3,0.9,1.9,279,"2026/05/21 21:00:00",0.1,10.4,22,0,120.41175,22.4795,52
大寮,高雄市,57,細懸浮微粒,普通,0.5,0.21,4,12,27,16,11,12,0.7,2,320,"2026/05/21 21:00:00",0.1,14.7,31,1,120.425311,22.56413611,51
鳳山,高雄市,40,,良好,0.8,0.37,4,13,22,13,10,15.1,4.2,0.7,260,"2026/05/21 21:00:00",0.3,10,21,1,120.357422,22.628126,50
仁武,高雄市,45,,良好,1.6,0.25,8,20,18,9,12,14.9,1.9,1.4,333,"2026/05/21 21:00:00",0.1,11.2,20,1,120.332631,22.689056,49
橋頭,高雄市,43,,良好,1,0.17,14,20,22,12,7,8.6,1.3,1.4,312,"2026/05/21 21:00:00",0.1,10.7,20,0,120.305689,22.757506,48
美濃,高雄市,32,,良好,0.7,0.15,15,31,22,6,4,5,1,0.6,331,"2026/05/21 21:00:00",0.1,7,19,0,120.530542,22.883583,47
臺南,臺南市,49,,良好,0.5,0.15,11,17,15,11,6,7.3,1.2,2.3,4,"2026/05/21 21:00:00",0.1,12.1,21,1,120.21947897,22.98928311,46
安南,臺南市,39,,良好,1.2,0.15,14,14,19,10,3,3.8,0.1,2.1,315,"2026/05/21 21:00:00",0.1,9.7,23,1,120.2175,23.048197,45
善化,臺南市,47,,良好,0.2,0.12,10,14,22,13,4,5.5,0.6,1.8,356,"2026/05/21 21:00:00",0.1,11.6,21,0,120.29740529,23.11337642,44
新營,臺南市,37,,良好,0.4,0.12,11,15,15,9,4,6.2,1.8,1.6,350,"2026/05/21 21:00:00",0.1,9,22,0,120.31725,23.305633,43
嘉義,嘉義市,40,,良好,1.2,0.18,8,16,16,6,7,8.5,1.4,1.1,335,"2026/05/21 21:00:00",0.1,9.9,21,1,120.44125148,23.46477865,42
臺西,雲林縣,31,,良好,0.2,0.1,20,24,17,8,1,2.6,1.1,0.4,290,"2026/05/21 21:00:00",0.1,7.7,15,0,120.19933333,23.702175,41
朴子,嘉義縣,40,,良好,0.8,0.1,16,20,15,9,2,3.8,1.3,0.7,293,"2026/05/21 21:00:00",0.1,9.8,15,1,120.2478,23.46538,40
新港,嘉義縣,40,,良好,0.6,0.12,21,23,21,9,2,3.4,0.5,0.7,309,"2026/05/21 21:00:00",0.1,10,20,0,120.345531,23.554839,39
崙背,雲林縣,38,,良好,1.2,0.13,14,18,27,9,3,3.6,0.3,0.3,250,"2026/05/21 21:00:00",0.1,9.5,23,1,120.348742,23.757547,38
斗六,雲林縣,42,,良好,1.3,0.15,12,23,31,16,5,5.6,0.1,0.9,7,"2026/05/21 21:00:00",0.1,10.3,22,1,120.544994,23.711853,37
南投,南投縣,47,,良好,0.6,0.17,10,28,24,12,8,9.8,0.9,1,33,"2026/05/21 21:00:00",0.1,11.7,22,0,120.685306,23.913,36
二林,彰化縣,46,,良好,0.5,0.14,9,18,27,15,4,5.7,1,0.3,292,"2026/05/21 21:00:00",0.1,11.5,25,1,120.409653,23.925175,35
線西,彰化縣,47,,良好,0.9,0.13,18,21,25,15,3,4.9,0.9,1.4,232,"2026/05/21 21:00:00",0.1,11.6,21,1,120.469061,24.131672,34
彰化,彰化縣,42,,良好,0.3,0.12,25,23,21,12,3,4.5,0.7,1,219,"2026/05/21 21:00:00",0.1,10.5,19,1,120.541519,24.066,33
西屯,臺中市,37,,良好,1.3,0.18,15,23,24,6,6,7.4,0.7,0.9,215,"2026/05/21 21:00:00",0.1,6.7,22,1,120.616917,24.162197,32
忠明,臺中市,46,,良好,1.7,0.24,8,13,17,11,9,11,1.2,1.2,205,"2026/05/21 21:00:00",0.2,11.3,17,1,120.641092,24.151958,31
大里,臺中市,44,,良好,1,0.25,10,21,15,11,7,8.9,1.4,1.2,263,"2026/05/21 21:00:00",0.2,11,20,1,120.67844444,24.09961111,30
沙鹿,臺中市,37,,良好,0.8,0.18,14,19,21,11,7,9.7,1.8,1,227,"2026/05/21 21:00:00",0.1,9.2,21,0,120.568794,24.225628,29
豐原,臺中市,38,,良好,0.6,0.28,2,25,19,10,12,14.4,2,1,104,"2026/05/21 21:00:00",0.2,9.5,23,1,120.74252414,24.25699731,28
三義,苗栗縣,40,,良好,2.7,0.34,3,19,13,9,12,13.4,1.1,1.4,241,"2026/05/21 21:00:00",0.2,9.8,19,1,120.75956754,24.38248443,27
苗栗,苗栗縣,45,,良好,2.5,0.28,9,22,22,13,9,11.2,2.2,1.3,224,"2026/05/21 21:00:00",0.1,11.2,17,2,120.82011468,24.56499183,26
頭份,苗栗縣,47,,良好,2.2,0.17,11,19,21,11,5,6.8,1.3,1.7,191,"2026/05/21 21:00:00",0.1,11.6,21,1,120.89869286,24.69690679,25
新竹,新竹市,33,,良好,0.8,0.26,9,17,20,9,9,10.9,0.9,1,238,"2026/05/21 21:00:00",0.1,8.2,20,1,120.97236752,24.8056356,24
竹東,新竹縣,42,,良好,0.4,0.15,12,24,16,10,4,4.5,0.5,0.9,192,"2026/05/21 21:00:00",0.1,10.5,17,0,121.08895493,24.74091408,23
湖口,新竹縣,35,,良好,1.1,0.16,13,20,14,8,9,10,0.4,1.6,223,"2026/05/21 21:00:00",0.1,8.7,17,1,121.03886894,24.90009696,22
龍潭,桃園市,36,,良好,1,0.15,9,22,20,10,7,9.4,1.9,1.6,218,"2026/05/21 21:00:00",0.1,9,19,0,121.21645772,24.86400048,21
平鎮,桃園市,39,,良好,0.6,0.18,8,12,17,9,8,9,0.7,1.4,206,"2026/05/21 21:00:00",0.1,9.7,17,0,121.203986,24.952786,20
觀音,桃園市,42,,良好,0.2,0.06,17,23,11,9,3,4.2,0.4,2,229,"2026/05/21 21:00:00",0,10.3,13,1,121.08283092,25.03556747,19
大園,桃園市,31,,良好,0.3,0.17,16,19,13,8,5,5.8,0.7,1.3,194,"2026/05/21 21:00:00",0.1,7.7,16,0,121.20251473,25.06100357,18
桃園,桃園市,35,,良好,0.1,0.22,8,17,15,11,9,11.7,2,1.5,203,"2026/05/21 21:00:00",0.1,8.6,17,0,121.30500531,24.9947107,17
大同,臺北市,55,細懸浮微粒,普通,0.4,0.56,3,11,17,17,25,39.9,14.5,-,-,"2026/05/21 21:00:00",0.5,13.9,18,1,121.51342074,25.06331455,16
松山,臺北市,45,,良好,1,0.32,9,18,14,7,19,22.7,3.6,0.8,48,"2026/05/21 21:00:00",0.2,10.4,21,1,121.578611,25.05,15
古亭,臺北市,44,,良好,1.1,0.31,14,27,16,8,14,16,1.2,1.6,132,"2026/05/21 21:00:00",0.2,10.9,19,1,121.529556,25.020608,14
萬華,臺北市,40,,良好,0.9,0.38,10,17,16,9,15,17.2,1.5,0.9,132,"2026/05/21 21:00:00",0.3,9.9,18,1,121.507972,25.046503,13
中山,臺北市,55,二氧化氮,普通,0.5,0.51,4,12,19,14,28,34.4,6.2,0.8,89,"2026/05/21 21:00:00",0.4,13.6,24,0,121.526528,25.062361,12
士林,臺北市,46,,良好,1.3,0.19,8,17,15,10,8,10,1.2,0.4,284,"2026/05/21 21:00:00",0.1,11.4,26,1,121.51666356,25.10334003,11
淡水,新北市,53,細懸浮微粒,普通,0.7,0.23,7,19,16,11,7,8.7,1.4,,,"2026/05/21 21:00:00",0.1,13.3,23,0,121.449239,25.1645,10
林口,新北市,47,,良好,1.2,0.24,4,14,17,12,12,14.7,2.6,1.3,235,"2026/05/21 21:00:00",0.1,11.7,19,1,121.36548982,25.07798949,9
菜寮,新北市,40,,良好,0.6,0.31,6,15,18,12,12,14.3,2.1,1.1,186,"2026/05/21 21:00:00",0.2,9.9,21,0,121.481028,25.06895,8
新莊,新北市,46,,良好,0.6,0.16,8,17,23,11,7,7.5,0.4,1.8,220,"2026/05/21 21:00:00",0.2,11.5,24,1,121.4325,25.037972,7
板橋,新北市,42,,良好,1.2,0.22,9,21,11,6,8,9.6,0.9,1.3,274,"2026/05/21 21:00:00",0.2,10.5,17,1,121.458667,25.012972,6
土城,新北市,45,,良好,0.6,0.2,6,23,17,14,8,10.3,1.8,1,219,"2026/05/21 21:00:00",0.1,11.2,22,0,121.451861,24.982528,5
新店,新北市,42,,良好,0.2,0.22,18,38,14,7,9,10.2,1.2,2.3,189,"2026/05/21 21:00:00",0.2,10.3,17,0,121.537778,24.977222,4
汐止,新北市,58,細懸浮微粒,普通,1.3,0.28,5,34,16,15,22,25.2,2.7,0.6,11,"2026/05/21 21:00:00",0.2,15.2,24,2,121.64081,25.06624,2
基隆,基隆市,52,細懸浮微粒,普通,0.3,0.34,14,43,16,12,11,12,0.9,0.6,271,"2026/05/21 21:00:00",0.2,12.9,19,0,121.760056,25.129167,1
